iter	Passed	Remaining
401	17080	25408
402	17099	25331
403	17122	25260
404	17150	25196
405	17173	25126
406	17202	25063
407	17228	24998
408	17250	24926
409	17273	24856
410	17453	25012
411	17503	24981
412	17538	24927
413	17569	24869
414	17621	24840
415	17655	24785
416	17679	24717
417	17699	24643
418	17717	24567
419	17736	24493
420	17764	24431
421	17795	24373
422	17815	24301
423	17833	24226
424	17862	24167
425	17883	24095
426	17908	24031
427	17935	23970
428	17969	23916
429	18015	23880
430	18055	23836
431	18124	23830
432	18207	23841
433	18236	23783
434	18259	23716
435	18285	23653
436	18329	23614
437	18364	23563
438	18389	23499
439	18414	23436
440	18433	23365
441	18453	23297
442	18479	23234
443	18497	23163
444	18516	23093
445	18535	23024
446	18560	22961
447	18580	22894
448	18598	22823
449	18615	22751
450	18633	22682
451	18649	22610
452	18666	22539
453	18683	22469
454	18708	22409
455	18751	22369
456	18780	22315
457	18805	22254
458	18827	22191
459	18860	22140
460	18883	22078
461	18911	22022
462	18931	21957
463	18958	21900
464	18979	21837
465	19007	21781
466	19032	21721
467	19061	21668
468	19093	21618
469	19331	21798
470	19383	21770
471	19469	21778
472	19542	21774
473	19647	21802
474	19754	21834
475	19809	21807
476	19891	21809
477	19947	21783
478	19996	21749
479	20053	21724
480	20126	21716
481	20174	21681
482	20272	21700
483	20339	21684
484	20381	21642
485	20444	21622
486	20478	21571
487	20500	21509
488	20520	21443
489	20540	21379
490	20570	21324
491	20589	21259
492	20608	21193
493	20641	21143
494	20683	21101
495	20718	21052
496	20748	20999
497	20774	20941
498	20805	20888
499	20824	20824
500	20846	20763
501	20864	20698
502	20880	20631
503	20899	20567
504	20916	20502
505	20938	20441
506	20957	20379
507	20977	20316
508	20994	20251
509	21011	20187
510	21030	20125
511	21048	20061
512	21067	19999
513	21084	19935
514	21101	19872
515	21119	19810
516	21139	19749
517	21156	19686
518	21174	19624
519	21192	19562
520	21213	19503
521	21232	19442
522	21249	19380
523	21266	19318
524	21283	19256
525	21299	19194
526	21316	19132
527	21334	19071
528	21351	19010
529	21377	18957
530	21399	18901
531	21419	18842
532	21439	18784
533	21459	18727
534	21479	18669
535	21497	18609
536	21517	18551
537	21536	18494
538	21556	18437
539	21574	18378
540	21594	18321
541	21611	18261
542	21627	18202
543	21644	18142
544	21660	18083
545	21682	18029
546	21701	17972
547	21723	17917
548	21741	17860
549	21758	17802
550	21782	17750
551	21798	17691
552	21814	17632
553	21838	17581
554	21855	17523
555	21871	17465
556	21888	17408
557	21908	17353
558	21927	17298
559	21947	17244
560	21967	17190
561	21986	17135
562	22010	17084
563	22030	17030
564	22044	16972
565	22059	16914
566	22073	16857
567	22088	16799
568	22105	16744
569	22119	16686
570	22135	16630
571	22150	16573
572	22171	16522
573	22203	16478
574	22226	16428
575	22249	16378
576	22268	16324
577	22282	16268
578	22297	16212
579	22312	16157
580	22332	16105
581	22348	16051
582	22368	15999
583	22391	15950
584	22409	15897
585	22438	15852
586	22469	15809
587	22497	15763
588	22535	15724
589	22561	15678
590	22583	15628
591	22609	15581
592	22629	15531
593	22652	15482
594	22681	15438
595	22713	15396
596	22748	15356
597	22782	15315
598	22820	15277
599	22850	15233
600	22879	15189
601	22903	15142
602	22940	15103
603	22967	15058
604	23039	15042
605	23118	15031
606	23198	15019
607	23262	14998
608	23303	14961
609	23368	14940
610	23395	14895
611	23418	14847
612	23447	14802
613	23470	14754
614	23500	14711
615	23527	14666
616	23546	14616
617	23568	14568
618	23590	14519
619	23612	14472
620	23634	14424
621	23654	14375
622	23672	14325
623	23704	14283
624	23748	14249
625	23783	14209
626	23814	14167
627	23848	14126
628	23876	14082
629	23899	14036
630	23924	13990
631	23945	13942
632	23967	13895
633	23999	13854
634	24030	13812
635	24060	13770
636	24091	13728
637	24113	13682
638	24138	13637
639	24164	13592
640	24189	13547
641	24209	13499
642	24236	13456
643	24256	13409
644	24272	13359
645	24353	13345
646	24415	13321
647	24476	13295
648	24547	13276
649	24571	13230
650	24586	13181
651	24601	13130
652	24618	13081
653	24633	13032
654	24649	12983
655	24838	13025
656	24888	12993
657	24909	12947
658	24939	12905
659	24965	12861
660	24995	12819
661	25022	12775
662	25053	12734
663	25093	12697
664	25121	12655
665	25149	12612
666	25168	12565
667	25193	12521
668	25221	12478
669	25238	12431
670	25262	12386
671	25288	12342
672	25310	12298
673	25329	12251
674	25350	12205
675	25375	12162
676	25394	12115
677	25415	12070
678	25447	12030
679	25472	11986
680	25500	11945
681	25539	11908
682	25566	11866
683	25592	11823
684	25616	11780
685	25637	11735
686	25662	11691
687	25695	11652
688	25718	11608
689	25761	11573
690	25795	11535
691	25825	11494
692	25855	11453
693	25881	11411
694	25906	11368
695	25932	11326
696	25952	11282
697	25973	11237
698	25993	11193
699	26012	11148
700	26031	11103
701	26068	11066
702	26114	11032
703	26150	10995
704	26178	10954
705	26201	10911
706	26229	10870
707	26258	10829
708	26294	10792
709	26314	10748
710	26333	10703
711	26352	10659
712	26374	10616
713	26398	10574
714	26417	10530
715	26440	10487
716	26457	10442
717	26474	10398
718	26498	10356
719	26522	10314
720	26546	10272
721	26568	10229
722	26588	10186
723	26616	10146
724	26637	10104
725	26659	10061
726	26684	10020
727	26708	9978
728	26754	9945
729	26777	9904
730	26816	9868
731	26886	9843
732	26983	9829
733	27071	9810
734	27191	9803
735	27257	9777
736	27342	9757
737	27411	9731
738	27461	9698
739	27506	9664
740	27544	9627
741	27588	9592
742	27654	9565
743	27768	9554
744	27883	9544
745	27936	9511
746	27991	9480
747	28028	9442
748	28076	9408
749	28130	9376
750	28193	9347
751	28327	9342
752	28489	9345
753	28601	9331
754	28690	9310
755	28745	9277
756	28813	9249
757	28899	9226
758	28955	9193
759	28981	9152
760	29024	9115
761	29058	9076
762	29095	9037
763	29137	9000
764	29177	8963
765	29224	8927
766	29253	8886
767	29291	8848
768	29323	8808
769	29355	8768
770	29391	8729
771	29421	8689
772	29451	8648
773	29472	8605
774	29493	8562
775	29543	8527
776	29588	8491
777	29623	8452
778	29661	8414
779	29693	8375
780	29733	8337
781	29752	8294
782	29775	8251
783	29799	8209
784	29820	8167
785	29840	8124
786	29867	8083
787	29888	8040
788	29907	7998
789	29926	7955
790	29947	7912
791	29967	7870
792	29989	7828
793	30010	7786
794	30032	7744
795	30052	7701
796	30079	7661
797	30101	7619
798	30124	7578
799	30144	7536
800	30164	7493
801	30183	7451
802	30214	7412
803	30241	7372
804	30277	7334
805	30314	7296
806	30356	7259
807	30394	7222
808	30433	7185
809	30485	7150
810	30526	7114
811	30575	7078
812	30645	7048
813	30706	7016
814	30760	6982
815	30859	6958
816	30977	6938
817	31059	6910
818	31111	6875
819	31193	6847
820	31221	6807
821	31254	6767
822	31309	6733
823	31373	6701
824	31412	6663
825	31461	6627
826	31511	6591
827	31538	6551
828	31558	6509
829	31578	6467
830	31623	6431
831	31662	6393
832	31725	6360
833	31792	6328
834	31842	6292
835	31871	6252
836	31895	6211
837	31930	6172
838	31957	6132
839	31980	6091
840	32011	6052
841	32041	6012
842	32064	5971
843	32088	5931
844	32117	5891
845	32139	5850
846	32165	5810
847	32191	5770
848	32230	5732
849	32258	5692
850	32295	5654
851	32320	5614
852	32345	5574
853	32379	5535
854	32463	5505
855	32506	5468
856	32552	5431
857	32589	5393
858	32630	5356
859	32666	5317
860	32708	5280
861	32759	5244
862	32796	5206
863	32828	5167
864	32866	5129
865	32900	5090
866	32927	5051
867	32954	5011
868	32977	4971
869	32999	4930
870	33049	4894
871	33145	4865
872	33187	4827
873	33232	4790
874	33277	4753
875	33310	4715
876	33333	4674
877	33372	4637
878	33399	4597
879	33432	4558
880	33474	4521
881	33508	4482
882	33544	4444
883	33584	4406
884	33614	4367
885	33642	4328
886	33676	4290
887	33727	4253
888	33765	4215
889	33796	4177
890	33824	4137
891	33843	4097
892	33864	4057
893	33883	4017
894	33900	3977
895	33918	3936
896	33935	3896
897	33952	3856
898	33968	3816
899	33985	3776
900	34002	3736
901	34019	3696
902	34035	3656
903	34053	3616
904	34070	3576
905	34089	3536
906	34106	3497
907	34122	3457
908	34138	3417
909	34155	3378
910	34175	3338
911	34190	3299
912	34211	3259
913	34227	3220
914	34242	3181
915	34256	3141
916	34272	3102
917	34287	3062
918	34303	3023
919	34320	2984
920	34336	2945
921	34354	2906
922	34375	2867
923	34391	2828
924	34410	2790
925	34424	2751
926	34437	2711
927	34452	2673
928	34470	2634
929	34486	2595
930	34502	2557
931	34518	2518
932	34533	2479
933	34553	2441
934	34568	2403
935	34583	2364
936	34601	2326
937	34617	2288
938	34642	2250
939	34659	2212
940	34675	2174
941	34691	2136
942	34707	2097
943	34722	2059
944	34737	2021
945	34750	1983
946	34766	1945
947	34782	1907
948	34798	1870
949	34814	1832
950	34829	1794
951	34845	1756
952	34860	1719
953	34876	1681
954	34893	1644
955	34909	1606
956	34925	1569
957	34979	1533
958	35028	1497
959	35052	1460
960	35071	1423
961	35091	1386
962	35111	1349
963	35130	1311
964	35150	1274
965	35171	1237
966	35192	1200
967	35213	1164
968	35237	1127
969	35254	1090
970	35273	1053
971	35291	1016
972	35316	980
973	35342	943
974	35360	906
975	35379	869
976	35400	833
977	35419	796
978	35439	760
979	35460	723
980	35478	687
981	35497	650
982	35518	614
983	35535	577
984	35554	541
985	35572	505
986	35593	468
987	35614	432
988	35632	396
989	35654	360
990	35674	323
991	35692	287
992	35710	251
993	35731	215
994	35750	179
995	35769	143
996	35788	107
997	35807	71
998	35826	35
999	35856	0
